"3scale_toolbox_supercool_plugin","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3scale_toolbox_supercool_plugin/total_downloads.json)"
"3undler","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/3undler/total_downloads.json)"
"420-time","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/420-time/total_downloads.json)"
"42858gemtest","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/42858gemtest/total_downloads.json)"
"42_gem","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/42_gem/total_downloads.json)"
"42bf3a5f55cc4dda8b5a73ff109cc204","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/42bf3a5f55cc4dda8b5a73ff109cc204/total_downloads.json)"
"46546535132132A","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/46546535132132A/total_downloads.json)"
"47primes-amatch","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/47primes-amatch/total_downloads.json)"
"4ake","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/4ake/total_downloads.json)"
"4info","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/4info/total_downloads.json)"
"4me-sdk","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/4me-sdk/total_downloads.json)"
"50-best-restaurants","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/50-best-restaurants/total_downloads.json)"
"51tracking","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/51tracking/total_downloads.json)"
"52inc-danger","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/52inc-danger/total_downloads.json)"
"533212321-weq-eqw","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/533212321-weq-eqw/total_downloads.json)"
"53cr-shoulda_generator","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/53cr-shoulda_generator/total_downloads.json)"
"616e647265.theme","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/616e647265.theme/total_downloads.json)"
"6210545971_Assignment3","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/6210545971_Assignment3/total_downloads.json)"
"6_mail_regex_andeshmukh","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/6_mail_regex_andeshmukh/total_downloads.json)"
"6px","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/6px/total_downloads.json)"
"6to5","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/6to5/total_downloads.json)"
"6to5-source","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/6to5-source/total_downloads.json)"
"6twenty-google_translate","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/6twenty-google_translate/total_downloads.json)"
"7_half","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/7_half/total_downloads.json)"
"7d","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/7d/total_downloads.json)"
"7digital","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/7digital/total_downloads.json)"
"8--D","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/8--D/total_downloads.json)"
"80ae2fe5c929b7d0a00bdee2d710fa9e","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/80ae2fe5c929b7d0a00bdee2d710fa9e/total_downloads.json)"
"80legs","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/80legs/total_downloads.json)"
"8291_scanner","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/8291_scanner/total_downloads.json)"
"88miles","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/88miles/total_downloads.json)"
"92r6yov8e","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/92r6yov8e/total_downloads.json)"
"99_game","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/99_game/total_downloads.json)"
"99designs-tasks","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/99designs-tasks/total_downloads.json)"
"99designs_tasks","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/99designs_tasks/total_downloads.json)"
"AGOntoMan","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/AGOntoMan/total_downloads.json)"
"ARFParser","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/ARFParser/total_downloads.json)"
"AWSAccessKeyScan","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/AWSAccessKeyScan/total_downloads.json)"
"Abbie_Franklinian","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/Abbie_Franklinian/total_downloads.json)"
"AboutYou-Ruby-SDK","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/AboutYou-Ruby-SDK/total_downloads.json)"
"Acadie_eucalyptian","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/Acadie_eucalyptian/total_downloads.json)"
"Acmaea_Mantoidea","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/Acmaea_Mantoidea/total_downloads.json)"
"ActiveCassandra","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/ActiveCassandra/total_downloads.json)"
"AcuForce2","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/AcuForce2/total_downloads.json)"
"Aegipan_barricader","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/Aegipan_barricader/total_downloads.json)"
"Aht_litten","HTTP status client error (404 Not Found) for url (https://bestgems.org/api/v1/gems/Aht_litten/total_downloads.json)"
