name,total_downloads,daily_downloads
access_token,7230,2
access_token_agent,33918,0
access_token_wrapper,6986,0
access_watch,5663,0
access_watch_rails,8224,0
access-watch-rails,4248,0
access-watch-ruby,1763,0
accio,15234,0
accio_bower,4372,0
acclaim,155858,2
acclaim-api,1282,0
acclimate,20879,0
ac_copyright_tool,1548,0
accord,15909,0
according_to,3400,0
accordion_view,8882,0
accountability,4755,3
accountable,10005,0
accountancy,9362,0
accountant,3315,0
accountant_clerk,16663,0
accountant_date,18172,0
account-bucketing-engine,749,2
account-client,820,0
AccountGem,4156,0
accounting,8309,0
accountingjs-rails,380781,8
accountkit,4363,0
account_kit,34272,7
account_kit_rails,2516,0
accountly,16655,0
accounts,8971,0
accounts_client,209383,0
account_scopper,18867,0
account_subdomain,3277,0
accoutrement,83920,9
accredible-api-ruby,21235,0
accredible-ruby,5449,0
accumulators,73831,0
accutronic,20108,0
accuweather,12665,0
acdc,120916,0
ace,118025,0
ace-client,65777,0
ace-client-ext,29702,0
ace-debugger-ruby_core_source,8811,0
aced_rails,74877,0
ace_editor-rails,9477,0
ace-eye,14515,0
ace-helper,5955,0
aceitafacil,23242,0
acenda-client,3753,0
ace_of_spades,1623,1
ace-rails,15973,0
ace-rails-ap,7686458,242
ace_redlock,8622,0
aceroute,3092,0
aces,1390,2
ace-theme,4456,0
ace_vimtura-rails,8029,1
aceworld-test,1911,0
acfs,380669,79
acgt,16291,0
acg_view_tool,1278,0
ach,951226,131
ac_hand_dryer,1683,0
ach_builder,25099,0
ach_client,24973,6
achdirect-activemerchant,10992,0
achecker,21036,0
acheron,2477,0
achetepe,7736,0
ach_flattenmeta,8853,0
achievable,17899,0
achieve,7801,0
achievements,35929,0
achiever,5407,0
achirkunov-spatial_adapter,10141,0
achiu-clfu,5935,0
ac_hiya_ankit_chachada,8071,0
achoo,44106,0
achoo-plugin-homescreen,9403,0
acidic_job,2114,31
acirb,14392,2
ackbar,19049,0
ack_favicon_maker_rails,5969,0
ackintosh-net-empty_port,3874,0
ackintosh-tiny_progressbar,7833,0
ack-mongoid-forums,5961,0
ack-paperclip-meta,7570,0
ack-paperclip-watermark,1848,0
ackr,31490,0
ack_rails_admin_jcrop,25149,0
ack_rails_admin_settings,18874,0
ack_rocket_cms,57248,0
ack_rocket_cms_activerecord,55085,0
ack_rocket_cms_catalog,2314,0
ack_rocket_cms_mongoid,55369,0
acl,13764,0
acl9,269612,14
aclatraz,53357,0
ac-library-rb,2370,8
aclize,10192,0
a_clockwork_ruby,26106,0
ac-logger,2781,0
acl_plugin,9822,0
acls,12698,0
acl_system2,80821,28
acluscraper,6465,0
acm,16338,3
acmaker,1599,0
acmcommits,161107,0
acme,41382,0
acme-authorizer,8069,2
acme-base64_hexagrams,2976,0
acme-bleach,26782,0
acme_challenge,14717,0
acme-cli,2057,2
acme-client,8956457,2856
acme-heisenberg,7925,0
acme_japanese_av_actress,9853,0
acme-leeway,8069,0
acme_manager,3063,0
acme_nsupdate,11637,2
acme-pki,7248,0
acme_plugin,3296,0
acme-r53-cli,7408,0
acme-smileage,6242,0
acmesmith,46993,1
acmesmith-designate,4501,0
acmesmith-google-cloud-dns,5763,1
acmesmith-google-cloud-storage,7491,1
acmesmith-http-path,1761,0
acmesmith-ns1,1515,0
acmesmith-verisign,1148,0
acms_ruby,3854,0
acnfp-trans-counter,17444,0
acnh_critterpedia,439,0
acnh_informations,787,3
acnh_villager,1089,0
acoc,4123,0
acop,20728,0
acopy,13532,0
ACORD,4025,0
acordion,2784,2
acorn,9070,0
acorn_cache,5538,0
acorns-rds-auth,2483,0
acos_client,3718,3
acos_jekyll_openapi_helper,8918,0
acouchi,101174,0
acoustid-api,3550,0
acpc_dealer,127072,1
acpc_dealer_data,89848,0
acpc_poker_basic_proxy,67294,0
acpc_poker_match_state,73926,0
acpc_poker_player_proxy,79930,0
acpc_poker_types,284692,0
acpc_table_manager,63375,0
acquia-cloud,50334,1
acquia_sdk_ruby,5185,0
acquia_toolbelt,51167,0
acquire_stockinfo_from_yahoo,16904,0
acrawriter,3117,0
acread,51118,0
acrobat,4578,2
acromine,3031,0
acronos_poc,4791,0
acronym,22472,0
acronyms,2685,0
acropolis,7757,0
acrosslite,33411,0
acs2aws,2938,0
acs-api,3206,0
acs-ldap,24110,0
ac-summarization-utils,4047,1
acsv,73328,3
act,35584,0
act_a,4731,0
act_as_activity,1705,0
act_as_attribute,14919,0
act_as_backdrop,7473,0
act_as_buddy,37297,0
act_as_cached,26103,0
act_as_cnpj_cpf,7442,0
act_as_csv,5845,0
act_as_dirty,21476,0
act_as_disabled,2243,0
act_as_ecommerce,1706,0
act_as_enumerable,26135,0
act_as_gamification,1698,0
act_as_importable,62260,0
act_as_interactor,721,0
act_as_menu,3836,0
act_as_nameable,22779,0
act_as_page_extractor,8285,1
act_as_permission_controllable,1518,0
act_as_pingback,1705,0
act_as_releasable,37807,0
act_as_scope,1743,0
act_as_serializable,3732,0
act_as_sponsor,1704,0
act_as_time_as_boolean,47552,0
act_as_webhook,1712,0
act_blue_reporter,8244,0
acter,5763,0
act-fluent-logger-rails,995537,83
act_form,7053,0
act-func,2752,0
actic,87465,0
actie_smsc,1545,0
acting,10821,0
action,4136,0
actionable,54094,0
action_access,123955,5
action_admin,9557,0
action_alexa,1576,0
action_annotation,9420,0
action_args,620318,290
action_audit,5293,0
action_auditor,9983,0
action_audits,7773,0
action_authorization,2480,2
action_authorizer,13871,0
actionback,3258,0
action_blocks,1105,0
action_bouncer,6910,0
actioncable,143036454,47829
actioncable_auto_param,2549,0
actioncable-bindings,2432,0
action_cable_client,57763,7
action_cable_notifications,25211,0
action_cable_subscription_adapter,14411,0
action-cable-testing,1639950,456
action_callback,5493,0
action_case,4555,0
actionchain,1149,0
action_channels,5257,0
actionchat,1007,0
action_chat,1193,0
action_command,16809,0
action_commander,23512,2
actioncomponent,1879,0
action_component,7144,4
action_conductor,2848,0
action_context,17772,0
action_control,8825,0
actioncontroller-parameter_filter,16593,0
action_controller-parents,19172,0
action_controller_tweaks,17439,0
action_cost,14923,0
action_counter,1713,0
action_crud,9932,1
action_csv,2767,7
actiondebug,3441,0
action_decorator,3191,0
action_dialog,1234,0
action_director,8188,0
action_dispatch-disable_x_xss_protection,10672,0
action_dispatch-gz_static,52904,0
action_dispatch-http-content_disposition,45261,0
action_dispatch_test_predicates,43142,176
action_dispatch-test_response-json,8995,4
action-draft,6434,0
action_encrypt,3159,0
actioner,984,0
action_event,22784,0
action_extension,2666,0
actionfacade,20688,7
actionfield,1408,0
action_flow,10867,0
actionform,3240,0
actionframework,25197,0
actionframework-baseapi,6279,0
action-gmailer,13379,0
action-guard,48367,0
action-handle,2750,2
action_handler,2780,0
action-hero,23423,0
actionhook,1868,2
actioninteractor,24974,7
action_interceptor,75304,5
actionio-inifile,16113,0
actionizer,52480,0
action-jackson,8786,0
action_kit_api,283974,0
actionkit_connector,20698,0
action_kit_rest,36269,2
action_labels,4169,0
action_links,63187,0
action_logger,30083,0
action_logic,35774,0
actionmailbox,42173030,30288
action_mailbox_amazon_ingress,4353,1
action_mailbox_debug,471,0
actionmailbox-imap,8484,0
actionmailer,294309309,52474
actionmailer-2.3.17-rack-upgrade,10599,0
action_mailer_auto_previews,2238,0
action_mailer_auto_url_options,29479,7
ActionMailer-Base-to-use-an-absolute-path-template,10114,0
action_mailer_cache_delivery,285033,8
actionmailer-callbacks,93626,120
action_mailer_config,997,1
actionmailer_csi,12345,3
action_mailer_deliver_later,25212,0
actionmailer-deliver_later,3544,0
action-mailer-demuxer,15656,0
action_mailer-enqueable,11778,1
actionmailer_extensions,44453,0
actionmailer_host_autoset,8721,0
actionmailer-html2text,30225,0
actionmailer_inline_css,467500,27
actionmailer-instyle,32961,0
actionmailer-instyle4,3319,0
actionmailer_interceptor,10008,0
actionmailer-ironruby,26647,0
actionmailer-javamail,18692,0
action_mailer_kafka,2587,0
actionmailer-localized_preview,6410,0
action_mailer-logged_smtp_delivery,54319,0
actionmailer-maildir,7968,0
action_mailer-mandrill,3376,0
actionmailer-markdown,9616,0
action_mailer_matchers,24266,0
action_mailer_pixel,1089,0
action_mailer_provider,3813,0
actionmailer-rack-upgrade,26898,0
actionmailer-rack-upgrade-2,15533,0
actionmailer-sandbox,4496,0
action_mailer_test_mailing,9437,0
action_mailer_test_via_smtp,23411,0
actionmailer-text,717520,104
actionmailer-textgiri,4614,0
action_mailer_tls,23243,0
action_mailer_verp,60365,0
actionmailer-with-request,171585,7
action_mailer_x509,7096,0
actionmailer_x509,17250,0
actionmail_logger,9430,0
action_merchant,957,0
actionmessage,20538,0
action_messager,18369,0
action_messenger,6042,0
action_meta_tags,6884,0
actionmodel,3932,0
actionnav,2824,0
action_network_rest,10327,4
action_not_found,44334,0
actionnotifier,2812,0
action_notifier,2537,1
action_operation,7745,0
actionpack,310563650,57838
actionpack-2.3.17-rack-upgrade,10717,0
actionpack-action_caching,7221640,1293
actionpack-cloudflare,676436,295
actionpack-cloudfront,183314,24
actionpack_csi,4510,3
actionpack-direct_routes,9623,0
actionpack-page_caching,3984901,369
actionpack-page_caching_multithread,3236,0
actionpack-rack-upgrade,23036,0
actionpack-rack-upgrade-2,15678,0
actionpack-xml_parser,5348750,233
action_page,831,0
actionpager,8939,2
action_param_caching,23306,0
action_parameter,27278,1
action_params_permitter,5780,0
action_params_sanitizer,2866,0
action_path,1195,0
action_permission,8723,0
action-plan,2493,0
action_plugin,2514,0
action_policy,505264,141
action_policy-graphql,144301,51
actionpool,37246,0
ActionPool,110724,0
action_prefixer,4679,0
actionpresenter,5642,0
action_presenter,70874,0
action-presenter,8889,0
action_presenter-base,1274,0
action_processor,756,0
action_profiler,12128,0
action_pubsub,6180,0
action_push,4133,0
actionpusher,15977,0
action_pusher,21568,0
action_query,3873,0
action_recipient,18670,0
action_report,7673,0
action_requires,26738,0
action_resource,2711,0
actions,1752,0
actionscaffold,12252,7
action_scheduler,2021,0
action_scribe,1222,0
action-segue,6301,0
action_sequence,2916,0
action-server,2638,0
actionservice,40667,0
action_service,20845,148
actionset,30609,2
action_shipping,953,0
actionsms,6664,0
action_sms,38890,0
action_smser,88085,1
action_sms_gateways,48603,0
action_sprout-method_object,3297,0
actionsrb,976,0
actionstore,365,0
action-store,22809,6
action_subscriber,235904,54
action_subscriber-opentracing,8049,0
actions-updater,7572,3
action_table,3841,0
action_tabler,17848,0
actiontext,42296088,30281
actiontexter,3640,0
action_texter,11552,0
action-texter,5854,3
actiontext-lite,2285,0
